os	phase	pair	order	direct_ms	trusted_ms	trusted_minus_direct_ms
windows	pre	1	AB	23867	22021	-1846
windows	pre	2	BA	22367	23310	943
windows	pre	3	AB	24659	23423	-1236
windows	pre	4	BA	23988	23384	-604
windows	pre	5	AB	23372	23362	-10
windows	pre	6	BA	23354	22100	-1254
windows	post	1	AB	24423	23631	-792
windows	post	2	BA	22599	23605	1006
windows	post	3	AB	23673	23512	-161
windows	post	4	BA	23858	23694	-164
windows	post	5	AB	24087	23329	-758
windows	post	6	BA	21942	22446	504
linux	pre	1	AB	1153.789891	1153.965570	0.175679
linux	pre	2	BA	1153.637479	1104.012512	-49.624967
linux	pre	3	AB	1153.933486	1153.972754	0.039268
linux	pre	4	BA	1153.818632	1103.836901	-49.981731
linux	pre	5	AB	1154.091106	1103.733569	-50.357537
linux	pre	6	BA	1104.157567	1103.324655	-0.832912
linux	post	1	AB	1103.722827	1153.355039	49.632212
linux	post	2	BA	1103.379415	1103.879689	0.500274
linux	post	3	AB	1103.791951	1153.602614	49.810663
linux	post	4	BA	1153.869676	1153.714011	-0.155665
linux	post	5	AB	1103.772489	1153.761694	49.989205
linux	post	6	BA	1153.989473	1106.749783	-47.239690
