pair	order	old_runtime_ms	new_runtime_ms	new_minus_old_ms	old_finish_ms	new_finish_ms
1	AB	671.236386	662.001546	-9.234840	676.428794	667.154485
2	BA	657.182199	651.203916	-5.978283	662.279414	655.983508
3	AB	651.018331	664.396510	13.378179	655.845580	669.070721
4	BA	668.014882	660.755981	-7.258901	672.601317	665.226960
5	AB	656.739421	674.521256	17.781835	661.605016	679.750543
6	BA	652.626951	656.989335	4.362384	657.909218	661.612988
7	AB	645.063644	639.284070	-5.779574	650.219837	643.822577
8	BA	655.603309	652.061215	-3.542094	661.387557	657.038029
9	AB	677.968003	653.586541	-24.381462	682.824329	658.782792
10	BA	666.017255	641.150003	-24.867252	671.426922	645.875747
11	AB	654.559898	659.740172	5.180274	659.559097	664.512498
12	BA	647.370424	660.488433	13.118009	652.134443	665.445398
13	AB	641.215856	675.513457	34.297601	645.883329	680.197402
14	BA	655.366253	656.490690	1.124437	660.370091	661.169489
15	AB	657.991990	656.033001	-1.958989	663.193767	660.574256
16	BA	653.763891	666.116124	12.352233	658.469788	670.845831
17	AB	663.205554	673.004038	9.798484	667.868386	678.644649
18	BA	659.136448	650.156469	-8.979979	664.140490	654.960920
19	AB	652.752680	656.412452	3.659772	657.471386	661.302229
20	BA	659.094645	660.856480	1.761835	664.215444	665.904170
